2026-02-19T10:43:00.214765+01:00,  soc=31.0,  volt=49.13,  volt_delta=-3.67, volt_rate_per_min=-3.67, volt_status=CAUTION, batt_w=-1163.0,  batt_mode=charge,  batt_discharge_w=0,  batt_charge_w=1163.0,  load_w=29.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=28, max_charge_a=27, max_grid_charge_a=64, soc_limit_a=40, volt_penalty_a=10, voltage_protected_limit_a=30, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:44:00.215634+01:00,  soc=31.0,  volt=49.39,  volt_delta=-3.41, volt_rate_per_min=-3.41, volt_status=CAUTION, batt_w=-1163.0,  batt_mode=charge,  batt_discharge_w=0,  batt_charge_w=1163.0,  load_w=27.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=28, max_charge_a=27, max_grid_charge_a=64, soc_limit_a=40, volt_penalty_a=10, voltage_protected_limit_a=30, soc_power_w=1972, is_critical_soc=False
2026-02-19T10:45:00.214931+01:00,  soc=100.0,  volt=49.6,  volt_delta=-3.2, volt_rate_per_min=-3.2, volt_status=CAUTION, batt_w=-1181.0,  batt_mode=charge,  batt_discharge_w=0,  batt_charge_w=1181.0,  load_w=27.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=60, max_charge_a=27, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=2976, is_critical_soc=False
2026-02-19T10:46:00.215561+01:00,  soc=100.0,  volt=49.83,  volt_delta=-2.97, volt_rate_per_min=-2.97, volt_status=CAUTION, batt_w=-1181.0,  batt_mode=charge,  batt_discharge_w=0,  batt_charge_w=1181.0,  load_w=27.0, zone=unknown,  grid_charge=on, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=60, max_charge_a=27, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=2990, is_critical_soc=False
2026-02-19T10:47:00.215599+01:00,  soc=100.0,  volt=49.71,  volt_delta=-3.09, volt_rate_per_min=-3.09, volt_status=CAUTION, batt_w=-864.0,  batt_mode=charge,  batt_discharge_w=0,  batt_charge_w=864.0,  load_w=27.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=60, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=2983, is_critical_soc=False
2026-02-19T10:48:00.215063+01:00,  soc=100.0,  volt=49.61,  volt_delta=-3.19, volt_rate_per_min=-3.19, volt_status=CAUTION, batt_w=-16.0,  batt_mode=idle,  batt_discharge_w=0,  batt_charge_w=16.0,  load_w=2615.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=60, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=2977, is_critical_soc=False
2026-02-19T10:49:00.214672+01:00,  soc=100.0,  volt=49.61,  volt_delta=-3.19, volt_rate_per_min=-3.19, volt_status=CAUTION, batt_w=-16.0,  batt_mode=idle,  batt_discharge_w=0,  batt_charge_w=16.0,  load_w=2615.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=60, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=2977, is_critical_soc=False
2026-02-19T10:50:00.214540+01:00,  soc=100.0,  volt=49.61,  volt_delta=-3.19, volt_rate_per_min=-3.19, volt_status=CAUTION, batt_w=-16.0,  batt_mode=idle,  batt_discharge_w=0,  batt_charge_w=16.0,  load_w=2618.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=60, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=2977, is_critical_soc=False
2026-02-19T10:51:00.215285+01:00,  soc=100.0,  volt=49.51,  volt_delta=-3.29, volt_rate_per_min=-3.29, volt_status=CAUTION, batt_w=-16.0,  batt_mode=idle,  batt_discharge_w=0,  batt_charge_w=16.0,  load_w=2618.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=60, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=2971, is_critical_soc=False
2026-02-19T10:52:00.215470+01:00,  soc=100.0,  volt=49.51,  volt_delta=-3.29, volt_rate_per_min=-3.29, volt_status=CAUTION, batt_w=-16.0,  batt_mode=idle,  batt_discharge_w=0,  batt_charge_w=16.0,  load_w=2618.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=60, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=2971, is_critical_soc=False
2026-02-19T10:53:00.214967+01:00,  soc=100.0,  volt=49.51,  volt_delta=-3.29, volt_rate_per_min=-3.29, volt_status=CAUTION, batt_w=-16.0,  batt_mode=idle,  batt_discharge_w=0,  batt_charge_w=16.0,  load_w=2618.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=60, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=2971, is_critical_soc=False
2026-02-19T10:54:00.214891+01:00,  soc=100.0,  volt=49.51,  volt_delta=-3.29, volt_rate_per_min=-3.29, volt_status=CAUTION, batt_w=-16.0,  batt_mode=idle,  batt_discharge_w=0,  batt_charge_w=16.0,  load_w=2556.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=60, max_charge_a=6, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=2971, is_critical_soc=False
