2026-02-28T09:17:00.339921+01:00,  soc=73.0,  volt=52.03,  volt_delta=-0.77, volt_rate_per_min=-0.77, volt_status=NORMAL, batt_w=1161.0,  batt_mode=discharge,  batt_discharge_w=1161.0,  batt_charge_w=0,  load_w=1427.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3122, is_critical_soc=False
2026-02-28T09:18:00.339812+01:00,  soc=73.0,  volt=52.03,  volt_delta=-0.77, volt_rate_per_min=-0.77, volt_status=NORMAL, batt_w=1161.0,  batt_mode=discharge,  batt_discharge_w=1161.0,  batt_charge_w=0,  load_w=1427.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3122, is_critical_soc=False
2026-02-28T09:19:00.340758+01:00,  soc=73.0,  volt=52.03,  volt_delta=-0.77, volt_rate_per_min=-0.77, volt_status=NORMAL, batt_w=1102.0,  batt_mode=discharge,  batt_discharge_w=1102.0,  batt_charge_w=0,  load_w=1434.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3122, is_critical_soc=False
2026-02-28T09:20:00.340202+01:00,  soc=73.0,  volt=52.03,  volt_delta=-0.77, volt_rate_per_min=-0.77, volt_status=NORMAL, batt_w=1102.0,  batt_mode=discharge,  batt_discharge_w=1102.0,  batt_charge_w=0,  load_w=1434.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3122, is_critical_soc=False
2026-02-28T09:21:00.340427+01:00,  soc=73.0,  volt=52.03,  volt_delta=-0.77, volt_rate_per_min=-0.77, volt_status=NORMAL, batt_w=1102.0,  batt_mode=discharge,  batt_discharge_w=1102.0,  batt_charge_w=0,  load_w=1434.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3122, is_critical_soc=False
2026-02-28T09:22:00.339998+01:00,  soc=73.0,  volt=52.09,  volt_delta=-0.71, volt_rate_per_min=-0.71, volt_status=NORMAL, batt_w=1031.0,  batt_mode=discharge,  batt_discharge_w=1031.0,  batt_charge_w=0,  load_w=1434.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3125, is_critical_soc=False
2026-02-28T09:23:00.340451+01:00,  soc=72.0,  volt=52.09,  volt_delta=-0.71, volt_rate_per_min=-0.71, volt_status=NORMAL, batt_w=1031.0,  batt_mode=discharge,  batt_discharge_w=1031.0,  batt_charge_w=0,  load_w=1434.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3125, is_critical_soc=False
2026-02-28T09:24:00.341343+01:00,  soc=72.0,  volt=52.09,  volt_delta=-0.71, volt_rate_per_min=-0.71, volt_status=NORMAL, batt_w=984.0,  batt_mode=discharge,  batt_discharge_w=984.0,  batt_charge_w=0,  load_w=1413.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3125, is_critical_soc=False
2026-02-28T09:25:00.339811+01:00,  soc=72.0,  volt=52.09,  volt_delta=-0.71, volt_rate_per_min=-0.71, volt_status=NORMAL, batt_w=984.0,  batt_mode=discharge,  batt_discharge_w=984.0,  batt_charge_w=0,  load_w=1413.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3125, is_critical_soc=False
2026-02-28T09:26:00.340155+01:00,  soc=72.0,  volt=52.09,  volt_delta=-0.71, volt_rate_per_min=-0.71, volt_status=NORMAL, batt_w=984.0,  batt_mode=discharge,  batt_discharge_w=984.0,  batt_charge_w=0,  load_w=1413.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3125, is_critical_soc=False
2026-02-28T09:27:00.340167+01:00,  soc=72.0,  volt=52.09,  volt_delta=-0.71, volt_rate_per_min=-0.71, volt_status=NORMAL, batt_w=984.0,  batt_mode=discharge,  batt_discharge_w=984.0,  batt_charge_w=0,  load_w=1413.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3125, is_critical_soc=False
2026-02-28T09:28:00.340052+01:00,  soc=71.0,  volt=52.12,  volt_delta=-0.68, volt_rate_per_min=-0.68, volt_status=NORMAL, batt_w=984.0,  batt_mode=discharge,  batt_discharge_w=984.0,  batt_charge_w=0,  load_w=1413.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3127, is_critical_soc=False
2026-02-28T09:29:00.340231+01:00,  soc=71.0,  volt=52.12,  volt_delta=-0.68, volt_rate_per_min=-0.68, volt_status=NORMAL, batt_w=934.0,  batt_mode=discharge,  batt_discharge_w=934.0,  batt_charge_w=0,  load_w=1413.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3127, is_critical_soc=False
2026-02-28T09:30:00.340441+01:00,  soc=71.0,  volt=52.12,  volt_delta=-0.68, volt_rate_per_min=-0.68, volt_status=NORMAL, batt_w=934.0,  batt_mode=discharge,  batt_discharge_w=934.0,  batt_charge_w=0,  load_w=1383.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3127, is_critical_soc=False
2026-02-28T09:31:00.340160+01:00,  soc=71.0,  volt=52.12,  volt_delta=-0.68, volt_rate_per_min=-0.68, volt_status=NORMAL, batt_w=934.0,  batt_mode=discharge,  batt_discharge_w=934.0,  batt_charge_w=0,  load_w=1383.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3127, is_critical_soc=False
2026-02-28T09:32:00.339983+01:00,  soc=71.0,  volt=52.13,  volt_delta=-0.67, volt_rate_per_min=-0.67, volt_status=NORMAL, batt_w=932.0,  batt_mode=discharge,  batt_discharge_w=932.0,  batt_charge_w=0,  load_w=1383.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3128, is_critical_soc=False
2026-02-28T09:33:00.340127+01:00,  soc=71.0,  volt=52.13,  volt_delta=-0.67, volt_rate_per_min=-0.67, volt_status=NORMAL, batt_w=932.0,  batt_mode=discharge,  batt_discharge_w=932.0,  batt_charge_w=0,  load_w=1383.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3128, is_critical_soc=False
2026-02-28T09:34:00.340601+01:00,  soc=70.0,  volt=52.13,  volt_delta=-0.67, volt_rate_per_min=-0.67, volt_status=NORMAL, batt_w=932.0,  batt_mode=discharge,  batt_discharge_w=932.0,  batt_charge_w=0,  load_w=1383.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=65, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=10, voltage_protected_limit_a=50, soc_power_w=3128, is_critical_soc=False
