2026-02-22T10:43:00.322378+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=3834.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
2026-02-22T10:44:00.322231+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=5933.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
2026-02-22T10:45:00.322383+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=6048.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
2026-02-22T10:46:00.322411+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4129.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
2026-02-22T10:47:00.321892+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=4129.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
2026-02-22T10:48:00.321915+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=3816.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
2026-02-22T10:49:00.321966+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=6071.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
2026-02-22T10:50:00.322168+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=5805.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
2026-02-22T10:51:00.322278+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=6016.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
2026-02-22T10:52:00.322279+01:00,  soc=90.0,  volt=52.7,  volt_delta=-0.1, volt_rate_per_min=-0.1, volt_status=NORMAL, batt_w=15.0,  batt_mode=idle,  batt_discharge_w=15.0,  batt_charge_w=0,  load_w=5711.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-22 07:00:02, ev_webhook_count=100, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=60, volt_penalty_a=0, voltage_protected_limit_a=60, soc_power_w=3162, is_critical_soc=False
