2026-02-24T21:34:00.340264+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=265.0,  batt_mode=discharge,  batt_discharge_w=265.0,  batt_charge_w=0,  load_w=2098.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:35:00.339767+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=265.0,  batt_mode=discharge,  batt_discharge_w=265.0,  batt_charge_w=0,  load_w=2098.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:36:00.340487+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=265.0,  batt_mode=discharge,  batt_discharge_w=265.0,  batt_charge_w=0,  load_w=2098.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:37:00.339977+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=265.0,  batt_mode=discharge,  batt_discharge_w=265.0,  batt_charge_w=0,  load_w=2098.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:38:00.340516+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=265.0,  batt_mode=discharge,  batt_discharge_w=265.0,  batt_charge_w=0,  load_w=2098.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:39:00.341652+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=265.0,  batt_mode=discharge,  batt_discharge_w=265.0,  batt_charge_w=0,  load_w=2098.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:40:00.340318+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=265.0,  batt_mode=discharge,  batt_discharge_w=265.0,  batt_charge_w=0,  load_w=2132.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:41:00.340696+01:00,  soc=24.0,  volt=51.33,  volt_delta=-1.47, volt_rate_per_min=-1.47, volt_status=NORMAL, batt_w=265.0,  batt_mode=discharge,  batt_discharge_w=265.0,  batt_charge_w=0,  load_w=2132.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=26, volt_penalty_a=10, voltage_protected_limit_a=16, soc_power_w=1343, is_critical_soc=False
2026-02-24T21:42:00.340302+01:00,  soc=23.0,  volt=51.29,  volt_delta=-1.51, volt_rate_per_min=-1.51, volt_status=NORMAL, batt_w=265.0,  batt_mode=discharge,  batt_discharge_w=265.0,  batt_charge_w=0,  load_w=2132.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=25, volt_penalty_a=10, voltage_protected_limit_a=15, soc_power_w=1274, is_critical_soc=False
2026-02-24T21:43:00.340526+01:00,  soc=23.0,  volt=51.29,  volt_delta=-1.51, volt_rate_per_min=-1.51, volt_status=NORMAL, batt_w=265.0,  batt_mode=discharge,  batt_discharge_w=265.0,  batt_charge_w=0,  load_w=2132.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-23 05:00:02, ev_webhook_count=104, max_discharge_a=5, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=25, volt_penalty_a=10, voltage_protected_limit_a=15, soc_power_w=1274, is_critical_soc=False
