2026-01-29T17:19:00.204989+01:00,  soc=87.0,  volt=52.16,  volt_status=NORMAL, batt_w=2674.0,  batt_mode=discharge,  batt_discharge_w=2674.0,  batt_charge_w=0,  load_w=2598.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:20:00.204750+01:00,  soc=87.0,  volt=52.16,  volt_status=NORMAL, batt_w=2674.0,  batt_mode=discharge,  batt_discharge_w=2674.0,  batt_charge_w=0,  load_w=2598.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:21:00.204760+01:00,  soc=86.0,  volt=52.16,  volt_status=NORMAL, batt_w=2674.0,  batt_mode=discharge,  batt_discharge_w=2674.0,  batt_charge_w=0,  load_w=2598.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:22:00.205347+01:00,  soc=86.0,  volt=52.16,  volt_status=NORMAL, batt_w=2674.0,  batt_mode=discharge,  batt_discharge_w=2674.0,  batt_charge_w=0,  load_w=2598.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:23:00.204421+01:00,  soc=85.0,  volt=52.16,  volt_status=NORMAL, batt_w=2674.0,  batt_mode=discharge,  batt_discharge_w=2674.0,  batt_charge_w=0,  load_w=2595.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:24:00.204601+01:00,  soc=85.0,  volt=52.16,  volt_status=NORMAL, batt_w=2674.0,  batt_mode=discharge,  batt_discharge_w=2674.0,  batt_charge_w=0,  load_w=2595.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:25:00.204632+01:00,  soc=84.0,  volt=52.15,  volt_status=NORMAL, batt_w=2672.0,  batt_mode=discharge,  batt_discharge_w=2672.0,  batt_charge_w=0,  load_w=2595.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:26:00.204429+01:00,  soc=84.0,  volt=52.15,  volt_status=NORMAL, batt_w=2672.0,  batt_mode=discharge,  batt_discharge_w=2672.0,  batt_charge_w=0,  load_w=2595.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:27:00.204868+01:00,  soc=83.0,  volt=52.15,  volt_status=NORMAL, batt_w=2672.0,  batt_mode=discharge,  batt_discharge_w=2672.0,  batt_charge_w=0,  load_w=2595.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:28:00.204959+01:00,  soc=83.0,  volt=52.15,  volt_status=NORMAL, batt_w=2672.0,  batt_mode=discharge,  batt_discharge_w=2672.0,  batt_charge_w=0,  load_w=2595.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
