2026-01-26T15:45:01.734030+01:00, outdoor_avg_60m=0.0, flow_avg_10m=37.5, flowNow=37.5, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T15:50:01.559624+01:00, outdoor_avg_60m=0.0, flow_avg_10m=37.5, flowNow=37.5, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T15:55:01.591345+01:00, outdoor_avg_60m=0.0, flow_avg_10m=37.5, flowNow=37.5, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T16:00:01.834083+01:00, outdoor_avg_60m=0.0, flow_avg_10m=37.5, flowNow=35.5, powerNow=0, freqNow=42, opState=heating, status=set_flow_target
2026-01-26T16:05:01.323936+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.5, flowNow=30, powerNow=0, freqNow=0, opState=heating, status=set_flow_target
2026-01-26T16:10:01.699027+01:00, outdoor_avg_60m=0.0, flow_avg_10m=32.75, flowNow=30, powerNow=0, freqNow=0, opState=heating, status=set_flow_target
2026-01-26T16:15:01.676703+01:00, outdoor_avg_60m=0.0, flow_avg_10m=30.0, flowNow=29.5, powerNow=0, freqNow=0, opState=heating, status=set_flow_target
2026-01-26T16:20:01.761611+01:00, outdoor_avg_60m=0.0, flow_avg_10m=29.5, flowNow=36.5, powerNow=1000, freqNow=36, opState=heating, status=set_flow_target
2026-01-26T16:25:01.590869+01:00, outdoor_avg_60m=0.0, flow_avg_10m=33.0, flowNow=37, powerNow=1000, freqNow=36, opState=heating, status=set_flow_target
2026-01-26T16:30:01.840136+01:00, outdoor_avg_60m=0.0, flow_avg_10m=37.0, flowNow=36.5, powerNow=1000, freqNow=30, opState=heating, status=set_flow_target
2026-01-26T16:35:01.354439+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.75, flowNow=36.5, powerNow=1000, freqNow=30, opState=heating, status=set_flow_target
2026-01-26T16:40:01.682351+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.5, flowNow=37, powerNow=1000, freqNow=30, opState=heating, status=set_flow_target
2026-01-26T16:45:01.406189+01:00, outdoor_avg_60m=0.0, flow_avg_10m=37.0, flowNow=36.5, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T16:50:01.750650+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.5, flowNow=36.5, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T16:55:01.571239+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.5, flowNow=36.5, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T17:00:01.463018+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.5, flowNow=36.5, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T17:05:01.321612+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.5, flowNow=36.5, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T17:10:01.672034+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.5, flowNow=36.5, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T17:15:01.637590+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.5, flowNow=36.5, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T17:20:01.524186+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.5, flowNow=36.5, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T17:25:01.554906+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.5, flowNow=36.5, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T17:30:01.595053+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.5, flowNow=36.5, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T17:35:01.632457+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.5, flowNow=36.5, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T17:40:04.734128+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.5, flowNow=36.5, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T17:45:01.695925+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.5, flowNow=36.5, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T17:50:01.747034+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.5, flowNow=36.5, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T17:55:01.563099+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.5, flowNow=36.5, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T18:00:01.789734+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.5, flowNow=36.5, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T18:05:01.621835+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.5, flowNow=37, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T18:10:01.652915+01:00, outdoor_avg_60m=0.0, flow_avg_10m=36.75, flowNow=37, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T18:15:01.684781+01:00, outdoor_avg_60m=0.0, flow_avg_10m=37.0, flowNow=37, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T18:20:01.721596+01:00, outdoor_avg_60m=0.0, flow_avg_10m=37.0, flowNow=37, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T18:25:01.646776+01:00, outdoor_avg_60m=0.0, flow_avg_10m=37.0, flowNow=37, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T18:30:01.687258+01:00, outdoor_avg_60m=0.0, flow_avg_10m=37.0, flowNow=37, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T18:35:01.707840+01:00, outdoor_avg_60m=0.0, flow_avg_10m=37.0, flowNow=37, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T18:40:01.649261+01:00, outdoor_avg_60m=0.0, flow_avg_10m=37.0, flowNow=37, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
2026-01-26T18:45:01.681764+01:00, outdoor_avg_60m=0.0, flow_avg_10m=37.0, flowNow=37, powerNow=0, freqNow=26, opState=heating, status=set_flow_target
