2026-01-28T19:25:00.581943+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:25:00.592529+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:30:00.415125+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:30:00.431613+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:35:00.645032+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:35:00.655164+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:40:00.685575+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:40:00.696653+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:45:00.715836+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:45:00.728841+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:50:00.896311+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:50:00.918006+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:55:00.580464+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T19:55:00.587041+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T20:00:00.810206+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T20:00:00.821314+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T20:05:00.221252+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T20:05:00.232217+01:00, outdoor_avg_60m=0.0, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T20:10:00.669137+01:00, outdoor_avg_60m=-0.09, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T20:10:00.676049+01:00, outdoor_avg_60m=-0.09, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T20:15:00.716617+01:00, outdoor_avg_60m=-0.17, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T20:15:00.722900+01:00, outdoor_avg_60m=-0.17, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T20:20:00.530167+01:00, outdoor_avg_60m=-0.25, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
2026-01-28T20:20:00.541613+01:00, outdoor_avg_60m=-0.25, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=50, opState=heating, status=no_change
