2026-02-17T22:55:01.933550+01:00, outdoor_avg_60m=-4.09, flow_avg_10m=48.0, flowNow=48, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
2026-02-17T23:00:01.746921+01:00, outdoor_avg_60m=-4.17, flow_avg_10m=48.0, flowNow=48.5, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
2026-02-17T23:00:01.759412+01:00, outdoor_avg_60m=-4.17, flow_avg_10m=48.0, flowNow=48.5, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
2026-02-17T23:05:01.779368+01:00, outdoor_avg_60m=-4.27, flow_avg_10m=48.25, flowNow=48.5, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
2026-02-17T23:05:01.791084+01:00, outdoor_avg_60m=-4.27, flow_avg_10m=48.25, flowNow=48.5, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
2026-02-17T23:10:01.820616+01:00, outdoor_avg_60m=-4.36, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
2026-02-17T23:10:01.827634+01:00, outdoor_avg_60m=-4.36, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
2026-02-17T23:15:01.847458+01:00, outdoor_avg_60m=-4.45, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
2026-02-17T23:15:01.859278+01:00, outdoor_avg_60m=-4.45, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
2026-02-17T23:20:01.682645+01:00, outdoor_avg_60m=-4.5, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
2026-02-17T23:20:01.689796+01:00, outdoor_avg_60m=-4.5, flow_avg_10m=48.5, flowNow=48.5, powerNow=2000, freqNow=54, opState=heating, status=set_flow_target
